idiom,idiom_token
hit the road,<BERTRAM:IDhittheroadID>
cut and thrust,<BERTRAM:IDcutandthrustID>
full tilt,<BERTRAM:IDfulltiltID>
spill the beans,<BERTRAM:IDspillthebeansID>
down the drain,<BERTRAM:IDdownthedrainID>
drop the ball,<BERTRAM:IDdroptheballID>
work like a charm,<BERTRAM:IDworklikeacharmID>
behind the scenes,<BERTRAM:IDbehindthescenesID>
rough and tumble,<BERTRAM:IDroughandtumbleID>
in the works,<BERTRAM:IDintheworksID>
come to a head,<BERTRAM:IDcometoaheadID>
live a lie,<BERTRAM:IDlivealieID>
off the cuff,<BERTRAM:IDoffthecuffID>
hold the purse strings,<BERTRAM:IDholdthepursestringsID>
hit the jackpot,<BERTRAM:IDhitthejackpotID>
take liberties,<BERTRAM:IDtakelibertiesID>
high and dry,<BERTRAM:IDhighanddryID>
fair game,<BERTRAM:IDfairgameID>
kicking and screaming,<BERTRAM:IDkickingandscreamingID>
cut loose,<BERTRAM:IDcutlooseID>
talk dirty,<BERTRAM:IDtalkdirtyID>
cost the earth,<BERTRAM:IDcosttheearthID>
fall between two stools,<BERTRAM:IDfallbetweentwostoolsID>
hand in glove,<BERTRAM:IDhandingloveID>
in the loop,<BERTRAM:IDintheloopID>
saved by the bell,<BERTRAM:IDsavedbythebellID>
hope against hope,<BERTRAM:IDhopeagainsthopeID>
on ice,<BERTRAM:IDoniceID>
in the pipeline,<BERTRAM:IDinthepipelineID>
deaf as a post,<BERTRAM:IDdeafasapostID>
smoke like a chimney,<BERTRAM:IDsmokelikeachimneyID>
put a foot wrong,<BERTRAM:IDputafootwrongID>
ride high,<BERTRAM:IDridehighID>
cuckoo in the nest,<BERTRAM:IDcuckoointhenestID>
know no bounds,<BERTRAM:IDknownoboundsID>
heart of gold,<BERTRAM:IDheartofgoldID>
child's play,<BERTRAM:IDchildsplayID>
fit as a fiddle,<BERTRAM:IDfitasafiddleID>
make or break,<BERTRAM:IDmakeorbreakID>
full of beans,<BERTRAM:IDfullofbeansID>
beat swords into ploughshares,<BERTRAM:IDbeatswordsintoploughsharesID>
early bird,<BERTRAM:IDearlybirdID>
grasp at straws,<BERTRAM:IDgraspatstrawsID>
add insult to injury,<BERTRAM:IDaddinsulttoinjuryID>
the ayes have it,<BERTRAM:IDtheayeshaveitID>
horses for courses,<BERTRAM:IDhorsesforcoursesID>
chuck it down,<BERTRAM:IDchuckitdownID>
touch wood,<BERTRAM:IDtouchwoodID>
get wind of,<BERTRAM:IDgetwindofID>
kick ass,<BERTRAM:IDkickassID>
old as the hills,<BERTRAM:IDoldasthehillsID>
full marks,<BERTRAM:IDfullmarksID>
call someone's bluff,<BERTRAM:IDcallsomeonesbluffID>
that makes two of us,<BERTRAM:IDthatmakestwoofusID>
as the crow flies,<BERTRAM:IDasthecrowfliesID>
hold the fort,<BERTRAM:IDholdthefortID>
strike while the iron is hot,<BERTRAM:IDstrikewhiletheironishotID>
rock the boat,<BERTRAM:IDrocktheboatID>
make someone's day,<BERTRAM:IDmakesomeonesdayID>
take a bath,<BERTRAM:IDtakeabathID>
cold comfort,<BERTRAM:IDcoldcomfortID>
come up trumps,<BERTRAM:IDcomeuptrumpsID>
out of sorts,<BERTRAM:IDoutofsortsID>
flash in the pan,<BERTRAM:IDflashinthepanID>
laughing stock,<BERTRAM:IDlaughingstockID>
rise from the ashes,<BERTRAM:IDrisefromtheashesID>
lose your head,<BERTRAM:IDloseyourheadID>
pick up the pieces,<BERTRAM:IDpickupthepiecesID>
make waves,<BERTRAM:IDmakewavesID>
"been there, done that",<BERTRAM:IDbeentheredonethatID>
see red,<BERTRAM:IDseeredID>
pay through the nose,<BERTRAM:IDpaythroughthenoseID>
born and bred,<BERTRAM:IDbornandbredID>
boys in blue,<BERTRAM:IDboysinblueID>
now or never,<BERTRAM:IDnoworneverID>
mend fences,<BERTRAM:IDmendfencesID>
home and dry,<BERTRAM:IDhomeanddryID>
have a screw loose,<BERTRAM:IDhaveascrewlooseID>
the die is cast,<BERTRAM:IDthedieiscastID>
get away with murder,<BERTRAM:IDgetawaywithmurderID>
close to home,<BERTRAM:IDclosetohomeID>
go downhill,<BERTRAM:IDgodownhillID>
sleight of hand,<BERTRAM:IDsleightofhandID>
go great guns,<BERTRAM:IDgogreatgunsID>
get off the ground,<BERTRAM:IDgetoffthegroundID>
call the tune,<BERTRAM:IDcallthetuneID>
piping hot,<BERTRAM:IDpipinghotID>
from the cradle to the grave,<BERTRAM:IDfromthecradletothegraveID>
pull rank,<BERTRAM:IDpullrankID>
take the bull by the horns,<BERTRAM:IDtakethebullbythehornsID>
fall from grace,<BERTRAM:IDfallfromgraceID>
life and limb,<BERTRAM:IDlifeandlimbID>
kill the goose that lays the golden eggs,<BERTRAM:IDkillthegoosethatlaysthegoldeneggsID>
no sweat,<BERTRAM:IDnosweatID>
break ranks,<BERTRAM:IDbreakranksID>
breathe down someone's neck,<BERTRAM:IDbreathedownsomeonesneckID>
on your toes,<BERTRAM:IDonyourtoesID>
give something a miss,<BERTRAM:IDgivesomethingamissID>
over my dead body,<BERTRAM:IDovermydeadbodyID>
no strings attached,<BERTRAM:IDnostringsattachedID>
take the mickey,<BERTRAM:IDtakethemickeyID>
under the wire,<BERTRAM:IDunderthewireID>
odd one out,<BERTRAM:IDoddoneoutID>
be my guest,<BERTRAM:IDbemyguestID>
down the tubes,<BERTRAM:IDdownthetubesID>
man's best friend,<BERTRAM:IDmansbestfriendID>
on the take,<BERTRAM:IDonthetakeID>
hold your horses,<BERTRAM:IDholdyourhorsesID>
tell tales,<BERTRAM:IDtelltalesID>
go down a storm,<BERTRAM:IDgodownastormID>
at the drop of a hat,<BERTRAM:IDatthedropofahatID>
first among equals,<BERTRAM:IDfirstamongequalsID>
one for the road,<BERTRAM:IDonefortheroadID>
turn the screw,<BERTRAM:IDturnthescrewID>
grin and bear it,<BERTRAM:IDgrinandbearitID>
keep mum,<BERTRAM:IDkeepmumID>
take no prisoners,<BERTRAM:IDtakenoprisonersID>
in Dutch,<BERTRAM:IDindutchID>
pull someone's leg,<BERTRAM:IDpullsomeoneslegID>
on the run,<BERTRAM:IDontherunID>
on the stump,<BERTRAM:IDonthestumpID>
cut a dash,<BERTRAM:IDcutadashID>
spit it out,<BERTRAM:IDspititoutID>
plain sailing,<BERTRAM:IDplainsailingID>
easy on the eye,<BERTRAM:IDeasyontheeyeID>
slip through the net,<BERTRAM:IDslipthroughthenetID>
let your hair down,<BERTRAM:IDletyourhairdownID>
neck of the woods,<BERTRAM:IDneckofthewoodsID>
fit the bill,<BERTRAM:IDfitthebillID>
put a sock in it,<BERTRAM:IDputasockinitID>
bright and early,<BERTRAM:IDbrightandearlyID>
come to grief,<BERTRAM:IDcometogriefID>
have a few,<BERTRAM:IDhaveafewID>
when push comes to shove,<BERTRAM:IDwhenpushcomestoshoveID>
kiss ass,<BERTRAM:IDkissassID>
save someone's skin,<BERTRAM:IDsavesomeonesskinID>
in your blood,<BERTRAM:IDinyourbloodID>
cold feet,<BERTRAM:IDcoldfeetID>
get it up,<BERTRAM:IDgetitupID>
big hitter,<BERTRAM:IDbighitterID>
hot under the collar,<BERTRAM:IDhotunderthecollarID>
send someone packing,<BERTRAM:IDsendsomeonepackingID>
spare someone's blushes,<BERTRAM:IDsparesomeonesblushesID>
in business,<BERTRAM:IDinbusinessID>
see the light,<BERTRAM:IDseethelightID>
hit and miss,<BERTRAM:IDhitandmissID>
in the altogether,<BERTRAM:IDinthealtogetherID>
play into someone's hands,<BERTRAM:IDplayintosomeoneshandsID>
say cheese,<BERTRAM:IDsaycheeseID>
pick someone's brain,<BERTRAM:IDpicksomeonesbrainID>
pass the buck,<BERTRAM:IDpassthebuckID>
for my money,<BERTRAM:IDformymoneyID>
in the soup,<BERTRAM:IDinthesoupID>
take someone to task,<BERTRAM:IDtakesomeonetotaskID>
at your fingertips,<BERTRAM:IDatyourfingertipsID>
famous last words,<BERTRAM:IDfamouslastwordsID>
lend a hand,<BERTRAM:IDlendahandID>
argue the toss,<BERTRAM:IDarguethetossID>
come out in the wash,<BERTRAM:IDcomeoutinthewashID>
on the hoof,<BERTRAM:IDonthehoofID>
man of straw,<BERTRAM:IDmanofstrawID>
sit tight,<BERTRAM:IDsittightID>
the more the merrier,<BERTRAM:IDthemorethemerrierID>
on the hop,<BERTRAM:IDonthehopID>
babe in arms,<BERTRAM:IDbabeinarmsID>
catch the sun,<BERTRAM:IDcatchthesunID>
bums on seats,<BERTRAM:IDbumsonseatsID>
call a spade a spade,<BERTRAM:IDcallaspadeaspadeID>
miss the boat,<BERTRAM:IDmisstheboatID>
Bob's your uncle,<BERTRAM:IDbobsyouruncleID>
time will tell,<BERTRAM:IDtimewilltellID>
up to scratch,<BERTRAM:IDuptoscratchID>
carry the can,<BERTRAM:IDcarrythecanID>
light at the end of the tunnel,<BERTRAM:IDlightattheendofthetunnelID>
weak at the knees,<BERTRAM:IDweakatthekneesID>
within living memory,<BERTRAM:IDwithinlivingmemoryID>
easier said than done,<BERTRAM:IDeasiersaidthandoneID>
stick out like a sore thumb,<BERTRAM:IDstickoutlikeasorethumbID>
between the devil and the deep blue sea,<BERTRAM:IDbetweenthedevilandthedeepblueseaID>
power behind the throne,<BERTRAM:IDpowerbehindthethroneID>
on the same page,<BERTRAM:IDonthesamepageID>
in one ear and out the other,<BERTRAM:IDinoneearandouttheotherID>
strike a chord,<BERTRAM:IDstrikeachordID>
keep your fingers crossed,<BERTRAM:IDkeepyourfingerscrossedID>
as good as new,<BERTRAM:IDasgoodasnewID>
give and take,<BERTRAM:IDgiveandtakeID>
keep tabs on,<BERTRAM:IDkeeptabsonID>
bang for the buck,<BERTRAM:IDbangforthebuckID>
knock someone's socks off,<BERTRAM:IDknocksomeonessocksoffID>
let's be having you,<BERTRAM:IDletsbehavingyouID>
get under someone's skin,<BERTRAM:IDgetundersomeonesskinID>
at a loss for words,<BERTRAM:IDatalossforwordsID>
get on someone's nerves,<BERTRAM:IDgetonsomeonesnervesID>
you can't have your cake and eat it,<BERTRAM:IDyoucanthaveyourcakeandeatitID>
have someone's number,<BERTRAM:IDhavesomeonesnumberID>
the icing on the cake,<BERTRAM:IDtheicingonthecakeID>
kiss and tell,<BERTRAM:IDkissandtellID>
every which way,<BERTRAM:IDeverywhichwayID>
fly off the handle,<BERTRAM:IDflyoffthehandleID>
on a shoestring,<BERTRAM:IDonashoestringID>
run out of steam,<BERTRAM:IDrunoutofsteamID>
larger than life,<BERTRAM:IDlargerthanlifeID>
blow someone's mind,<BERTRAM:IDblowsomeonesmindID>
have it both ways,<BERTRAM:IDhaveitbothwaysID>
no two ways about it,<BERTRAM:IDnotwowaysaboutitID>
close shave,<BERTRAM:IDcloseshaveID>
within an ace of,<BERTRAM:IDwithinanaceofID>
jockey for position,<BERTRAM:IDjockeyforpositionID>
strain every nerve,<BERTRAM:IDstraineverynerveID>
steal someone's thunder,<BERTRAM:IDstealsomeonesthunderID>
have a cow,<BERTRAM:IDhaveacowID>
out of the picture,<BERTRAM:IDoutofthepictureID>
give someone pause,<BERTRAM:IDgivesomeonepauseID>
yesterday's news,<BERTRAM:IDyesterdaysnewsID>
on thin ice,<BERTRAM:IDonthiniceID>
play hookey,<BERTRAM:IDplayhookeyID>
place in the sun,<BERTRAM:IDplaceinthesunID>
ten a penny,<BERTRAM:IDtenapennyID>
Indian summer,<BERTRAM:IDindiansummerID>
speak volumes,<BERTRAM:IDspeakvolumesID>
turn the tables,<BERTRAM:IDturnthetablesID>
take the cake,<BERTRAM:IDtakethecakeID>
tread the boards,<BERTRAM:IDtreadtheboardsID>
in the doghouse,<BERTRAM:IDinthedoghouseID>
poacher turned gamekeeper,<BERTRAM:IDpoacherturnedgamekeeperID>
hot and heavy,<BERTRAM:IDhotandheavyID>
through thick and thin,<BERTRAM:IDthroughthickandthinID>
take it or leave it,<BERTRAM:IDtakeitorleaveitID>
till the cows come home,<BERTRAM:IDtillthecowscomehomeID>
drive someone up the wall,<BERTRAM:IDdrivesomeoneupthewallID>
have an eye for,<BERTRAM:IDhaveaneyeforID>
with bated breath,<BERTRAM:IDwithbatedbreathID>
and then some,<BERTRAM:IDandthensomeID>
night and day,<BERTRAM:IDnightanddayID>
marriage of convenience,<BERTRAM:IDmarriageofconvenienceID>
swings and roundabouts,<BERTRAM:IDswingsandroundaboutsID>
over-egg the pudding,<BERTRAM:IDovereggthepuddingID>
go west,<BERTRAM:IDgowestID>
lend an ear,<BERTRAM:IDlendanearID>
in cold blood,<BERTRAM:IDincoldbloodID>
do someone's head in,<BERTRAM:IDdosomeonesheadinID>
give up the ghost,<BERTRAM:IDgiveuptheghostID>
heart and soul,<BERTRAM:IDheartandsoulID>
easy does it,<BERTRAM:IDeasydoesitID>
on cloud nine,<BERTRAM:IDoncloudnineID>
party animal,<BERTRAM:IDpartyanimalID>
run out of gas,<BERTRAM:IDrunoutofgasID>
out on a limb,<BERTRAM:IDoutonalimbID>
take the biscuit,<BERTRAM:IDtakethebiscuitID>
chicken feed,<BERTRAM:IDchickenfeedID>
put someone on a pedestal,<BERTRAM:IDputsomeoneonapedestalID>
what's the damage?,<BERTRAM:IDwhatsthedamageID>
get in on the ground floor,<BERTRAM:IDgetinonthegroundfloorID>
pump iron,<BERTRAM:IDpumpironID>
in the sticks,<BERTRAM:IDinthesticksID>
take a bow,<BERTRAM:IDtakeabowID>
my bad,<BERTRAM:IDmybadID>
face the music,<BERTRAM:IDfacethemusicID>
walk all over,<BERTRAM:IDwalkalloverID>
take to the hills,<BERTRAM:IDtaketothehillsID>
dice with death,<BERTRAM:IDdicewithdeathID>
lose face,<BERTRAM:IDlosefaceID>
the plot thickens,<BERTRAM:IDtheplotthickensID>
weather the storm,<BERTRAM:IDweatherthestormID>
on the nod,<BERTRAM:IDonthenodID>
break cover,<BERTRAM:IDbreakcoverID>
hand to mouth,<BERTRAM:IDhandtomouthID>
in the pink,<BERTRAM:IDinthepinkID>
short and sweet,<BERTRAM:IDshortandsweetID>
know the score,<BERTRAM:IDknowthescoreID>
turn tail,<BERTRAM:IDturntailID>
go native,<BERTRAM:IDgonativeID>
kill two birds with one stone,<BERTRAM:IDkilltwobirdswithonestoneID>
grist to the mill,<BERTRAM:IDgristtothemillID>
put your oar in,<BERTRAM:IDputyouroarinID>
dead in the water,<BERTRAM:IDdeadinthewaterID>
marching orders,<BERTRAM:IDmarchingordersID>
sleep like a log,<BERTRAM:IDsleeplikealogID>
slip of the tongue,<BERTRAM:IDslipofthetongueID>
jobs for the boys,<BERTRAM:IDjobsfortheboysID>
out of the loop,<BERTRAM:IDoutoftheloopID>
under lock and key,<BERTRAM:IDunderlockandkeyID>
town and gown,<BERTRAM:IDtownandgownID>
keep the wolf from the door,<BERTRAM:IDkeepthewolffromthedoorID>
hit the nail on the head,<BERTRAM:IDhitthenailontheheadID>
blood is thicker than water,<BERTRAM:IDbloodisthickerthanwaterID>
not a pretty sight,<BERTRAM:IDnotaprettysightID>
tie the knot,<BERTRAM:IDtietheknotID>
paper over the cracks,<BERTRAM:IDpaperoverthecracksID>
swear like a trooper,<BERTRAM:IDswearlikeatrooperID>
bounce off the walls,<BERTRAM:IDbounceoffthewallsID>
in the lap of luxury,<BERTRAM:IDinthelapofluxuryID>
up a tree,<BERTRAM:IDupatreeID>
think the world of,<BERTRAM:IDthinktheworldofID>
broad in the beam,<BERTRAM:IDbroadinthebeamID>
play gooseberry,<BERTRAM:IDplaygooseberryID>
give someone the slip,<BERTRAM:IDgivesomeonetheslipID>
lone wolf,<BERTRAM:IDlonewolfID>
leave well alone,<BERTRAM:IDleavewellaloneID>
eat humble pie,<BERTRAM:IDeathumblepieID>
to die for,<BERTRAM:IDtodieforID>
sweat blood,<BERTRAM:IDsweatbloodID>
on the dot,<BERTRAM:IDonthedotID>
come rain or shine,<BERTRAM:IDcomerainorshineID>
by no stretch of the imagination,<BERTRAM:IDbynostretchoftheimaginationID>
on and off,<BERTRAM:IDonandoffID>
take something as read,<BERTRAM:IDtakesomethingasreadID>
different strokes for different folks,<BERTRAM:IDdifferentstrokesfordifferentfolksID>
like the clappers,<BERTRAM:IDliketheclappersID>
ride for a fall,<BERTRAM:IDrideforafallID>
for Africa,<BERTRAM:IDforafricaID>
wheels within wheels,<BERTRAM:IDwheelswithinwheelsID>
hold your tongue,<BERTRAM:IDholdyourtongueID>
daylight robbery,<BERTRAM:IDdaylightrobberyID>
stand up and be counted,<BERTRAM:IDstandupandbecountedID>
brass neck,<BERTRAM:IDbrassneckID>
without fail,<BERTRAM:IDwithoutfailID>
look on the bright side,<BERTRAM:IDlookonthebrightsideID>
cut it fine,<BERTRAM:IDcutitfineID>
run the gauntlet,<BERTRAM:IDrunthegauntletID>
reach for the stars,<BERTRAM:IDreachforthestarsID>
fall on stony ground,<BERTRAM:IDfallonstonygroundID>
raise hell,<BERTRAM:IDraisehellID>
when the chips are down,<BERTRAM:IDwhenthechipsaredownID>
come hell or high water,<BERTRAM:IDcomehellorhighwaterID>
on top of the world,<BERTRAM:IDontopoftheworldID>
take the floor,<BERTRAM:IDtakethefloorID>
play it safe,<BERTRAM:IDplayitsafeID>
call it quits,<BERTRAM:IDcallitquitsID>
cap in hand,<BERTRAM:IDcapinhandID>
armed to the teeth,<BERTRAM:IDarmedtotheteethID>
bite off more than you can chew,<BERTRAM:IDbiteoffmorethanyoucanchewID>
packed like sardines,<BERTRAM:IDpackedlikesardinesID>
throw in the towel,<BERTRAM:IDthrowinthetowelID>
do me a favour,<BERTRAM:IDdomeafavourID>
up against it,<BERTRAM:IDupagainstitID>
cheek by jowl,<BERTRAM:IDcheekbyjowlID>
apples and oranges,<BERTRAM:IDapplesandorangesID>
name names,<BERTRAM:IDnamenamesID>
lock horns,<BERTRAM:IDlockhornsID>
dead and buried,<BERTRAM:IDdeadandburiedID>
pack a punch,<BERTRAM:IDpackapunchID>
have no truck with,<BERTRAM:IDhavenotruckwithID>
pigs can fly,<BERTRAM:IDpigscanflyID>
bow and scrape,<BERTRAM:IDbowandscrapeID>
throw down the gauntlet,<BERTRAM:IDthrowdownthegauntletID>
keep your chin up,<BERTRAM:IDkeepyourchinupID>
run something up the flagpole,<BERTRAM:IDrunsomethinguptheflagpoleID>
no great shakes,<BERTRAM:IDnogreatshakesID>
see the light of day,<BERTRAM:IDseethelightofdayID>
burst someone's bubble,<BERTRAM:IDburstsomeonesbubbleID>
good riddance,<BERTRAM:IDgoodriddanceID>
rake over old coals,<BERTRAM:IDrakeoveroldcoalsID>
make a mountain out of a molehill,<BERTRAM:IDmakeamountainoutofamolehillID>
warts and all,<BERTRAM:IDwartsandallID>
bits and bobs,<BERTRAM:IDbitsandbobsID>
couch potato,<BERTRAM:IDcouchpotatoID>
easy as falling off a log,<BERTRAM:IDeasyasfallingoffalogID>
on the same wavelength,<BERTRAM:IDonthesamewavelengthID>
the rest is history,<BERTRAM:IDtherestishistoryID>
go off the boil,<BERTRAM:IDgoofftheboilID>
lick someone's boots,<BERTRAM:IDlicksomeonesbootsID>
leave no stone unturned,<BERTRAM:IDleavenostoneunturnedID>
at sixes and sevens,<BERTRAM:IDatsixesandsevensID>
count your blessings,<BERTRAM:IDcountyourblessingsID>
put a damper on,<BERTRAM:IDputadamperonID>
eternal triangle,<BERTRAM:IDeternaltriangleID>
bar none,<BERTRAM:IDbarnoneID>
shut the door on,<BERTRAM:IDshutthedooronID>
grease someone's palm,<BERTRAM:IDgreasesomeonespalmID>
in cahoots,<BERTRAM:IDincahootsID>
kiss of death,<BERTRAM:IDkissofdeathID>
lift a finger,<BERTRAM:IDliftafingerID>
on the rebound,<BERTRAM:IDonthereboundID>
sad sack,<BERTRAM:IDsadsackID>
throw cold water on,<BERTRAM:IDthrowcoldwateronID>
on the wagon,<BERTRAM:IDonthewagonID>
fly a kite,<BERTRAM:IDflyakiteID>
above board,<BERTRAM:IDaboveboardID>
up the spout,<BERTRAM:IDupthespoutID>
down in the dumps,<BERTRAM:IDdowninthedumpsID>
all over the shop,<BERTRAM:IDallovertheshopID>
box clever,<BERTRAM:IDboxcleverID>
on the make,<BERTRAM:IDonthemakeID>
there's no such thing as a free lunch,<BERTRAM:IDtheresnosuchthingasafreelunchID>
out of thin air,<BERTRAM:IDoutofthinairID>
go to ground,<BERTRAM:IDgotogroundID>
make a clean break,<BERTRAM:IDmakeacleanbreakID>
sour grapes,<BERTRAM:IDsourgrapesID>
pound the pavement,<BERTRAM:IDpoundthepavementID>
buy the farm,<BERTRAM:IDbuythefarmID>
when all is said and done,<BERTRAM:IDwhenallissaidanddoneID>
crocodile tears,<BERTRAM:IDcrocodiletearsID>
hit the mark,<BERTRAM:IDhitthemarkID>
with open arms,<BERTRAM:IDwithopenarmsID>
on tenterhooks,<BERTRAM:IDontenterhooksID>
move mountains,<BERTRAM:IDmovemountainsID>
keen as mustard,<BERTRAM:IDkeenasmustardID>
dead wood,<BERTRAM:IDdeadwoodID>
food for thought,<BERTRAM:IDfoodforthoughtID>
back to the drawing board,<BERTRAM:IDbacktothedrawingboardID>
ruffle someone's feathers,<BERTRAM:IDrufflesomeonesfeathersID>
play fast and loose,<BERTRAM:IDplayfastandlooseID>
take the fall,<BERTRAM:IDtakethefallID>
throw a curve,<BERTRAM:IDthrowacurveID>
like clockwork,<BERTRAM:IDlikeclockworkID>
cock of the walk,<BERTRAM:IDcockofthewalkID>
draw the short straw,<BERTRAM:IDdrawtheshortstrawID>
in the swim,<BERTRAM:IDintheswimID>
make short work of,<BERTRAM:IDmakeshortworkofID>
up to the hilt,<BERTRAM:IDuptothehiltID>
no can do,<BERTRAM:IDnocandoID>
find your feet,<BERTRAM:IDfindyourfeetID>
straight from the shoulder,<BERTRAM:IDstraightfromtheshoulderID>
make a pig's ear of,<BERTRAM:IDmakeapigsearofID>
share and share alike,<BERTRAM:IDshareandsharealikeID>
squeaky clean,<BERTRAM:IDsqueakycleanID>
give someone what for,<BERTRAM:IDgivesomeonewhatforID>
on the back burner,<BERTRAM:IDonthebackburnerID>
at death's door,<BERTRAM:IDatdeathsdoorID>
jump ship,<BERTRAM:IDjumpshipID>
pull a rabbit out of a hat,<BERTRAM:IDpullarabbitoutofahatID>
mind over matter,<BERTRAM:IDmindovermatterID>
smart alec,<BERTRAM:IDsmartalecID>
in a rut,<BERTRAM:IDinarutID>
shrinking violet,<BERTRAM:IDshrinkingvioletID>
perish the thought,<BERTRAM:IDperishthethoughtID>
hell for leather,<BERTRAM:IDhellforleatherID>
go under the hammer,<BERTRAM:IDgounderthehammerID>
save someone's bacon,<BERTRAM:IDsavesomeonesbaconID>
wipe the slate clean,<BERTRAM:IDwipetheslatecleanID>
first up,<BERTRAM:IDfirstupID>
two a penny,<BERTRAM:IDtwoapennyID>
laugh all the way to the bank,<BERTRAM:IDlaughallthewaytothebankID>
and all that jazz,<BERTRAM:IDandallthatjazzID>
all things being equal,<BERTRAM:IDallthingsbeingequalID>
chop and change,<BERTRAM:IDchopandchangeID>
go ballistic,<BERTRAM:IDgoballisticID>
have a foot in both camps,<BERTRAM:IDhaveafootinbothcampsID>
true blue,<BERTRAM:IDtrueblueID>
go with the flow,<BERTRAM:IDgowiththeflowID>
good offices,<BERTRAM:IDgoodofficesID>
nudge nudge wink wink,<BERTRAM:IDnudgenudgewinkwinkID>
swim against the tide,<BERTRAM:IDswimagainstthetideID>
go for broke,<BERTRAM:IDgoforbrokeID>
set your sights on,<BERTRAM:IDsetyoursightsonID>
cut and run,<BERTRAM:IDcutandrunID>
do the honours,<BERTRAM:IDdothehonoursID>
let sleeping dogs lie,<BERTRAM:IDletsleepingdogslieID>
dressed to the nines,<BERTRAM:IDdressedtotheninesID>
fall off the back of a lorry,<BERTRAM:IDfalloffthebackofalorryID>
flat as a pancake,<BERTRAM:IDflatasapancakeID>
live it up,<BERTRAM:IDliveitupID>
give it a whirl,<BERTRAM:IDgiveitawhirlID>
belt and braces,<BERTRAM:IDbeltandbracesID>
white hat,<BERTRAM:IDwhitehatID>
sail under false colours,<BERTRAM:IDsailunderfalsecoloursID>
eat someone alive,<BERTRAM:IDeatsomeonealiveID>
laugh like a drain,<BERTRAM:IDlaughlikeadrainID>
wouldn't hurt a fly,<BERTRAM:IDwouldnthurtaflyID>
see eye to eye,<BERTRAM:IDseeeyetoeyeID>
bugger all,<BERTRAM:IDbuggerallID>
in the wink of an eye,<BERTRAM:IDinthewinkofaneyeID>
at loggerheads,<BERTRAM:IDatloggerheadsID>
spit blood,<BERTRAM:IDspitbloodID>
slap on the wrist,<BERTRAM:IDslaponthewristID>
curiosity killed the cat,<BERTRAM:IDcuriositykilledthecatID>
up sticks,<BERTRAM:IDupsticksID>
do a bunk,<BERTRAM:IDdoabunkID>
fight fire with fire,<BERTRAM:IDfightfirewithfireID>
hold the ring,<BERTRAM:IDholdtheringID>
no smoke without fire,<BERTRAM:IDnosmokewithoutfireID>
fill the bill,<BERTRAM:IDfillthebillID>
chickens come home to roost,<BERTRAM:IDchickenscomehometoroostID>
make a meal of,<BERTRAM:IDmakeamealofID>
pull the plug,<BERTRAM:IDpulltheplugID>
put words in someone's mouth,<BERTRAM:IDputwordsinsomeonesmouthID>
put your best foot forward,<BERTRAM:IDputyourbestfootforwardID>
run the gamut,<BERTRAM:IDrunthegamutID>
coals to Newcastle,<BERTRAM:IDcoalstonewcastleID>
wither on the vine,<BERTRAM:IDwitheronthevineID>
pull the wool over someone's eyes,<BERTRAM:IDpullthewooloversomeoneseyesID>
better late than never,<BERTRAM:IDbetterlatethanneverID>
beyond the pale,<BERTRAM:IDbeyondthepaleID>
rule the roost,<BERTRAM:IDruletheroostID>
live in sin,<BERTRAM:IDliveinsinID>
under your breath,<BERTRAM:IDunderyourbreathID>
lay a finger on,<BERTRAM:IDlayafingeronID>
sick to death,<BERTRAM:IDsicktodeathID>
a pretty penny,<BERTRAM:IDaprettypennyID>
go round in circles,<BERTRAM:IDgoroundincirclesID>
jump the queue,<BERTRAM:IDjumpthequeueID>
right as rain,<BERTRAM:IDrightasrainID>
second childhood,<BERTRAM:IDsecondchildhoodID>
steal the show,<BERTRAM:IDstealtheshowID>
down to the wire,<BERTRAM:IDdowntothewireID>
sticky fingers,<BERTRAM:IDstickyfingersID>
beat the clock,<BERTRAM:IDbeattheclockID>
get it in the neck,<BERTRAM:IDgetitintheneckID>
in the nick of time,<BERTRAM:IDinthenickoftimeID>
fast and furious,<BERTRAM:IDfastandfuriousID>
put your foot down,<BERTRAM:IDputyourfootdownID>
keep your options open,<BERTRAM:IDkeepyouroptionsopenID>
live and let live,<BERTRAM:IDliveandletliveID>
cry foul,<BERTRAM:IDcryfoulID>
make a monkey of someone,<BERTRAM:IDmakeamonkeyofsomeoneID>
everything in the garden is rosy,<BERTRAM:IDeverythinginthegardenisrosyID>
get the boot,<BERTRAM:IDgetthebootID>
you pays your money and you takes your choice,<BERTRAM:IDyoupaysyourmoneyandyoutakesyourchoiceID>
hold the line,<BERTRAM:IDholdthelineID>
plain as a pikestaff,<BERTRAM:IDplainasapikestaffID>
fly the coop,<BERTRAM:IDflythecoopID>
one in the eye for,<BERTRAM:IDoneintheeyeforID>
move heaven and earth,<BERTRAM:IDmoveheavenandearthID>
land of nod,<BERTRAM:IDlandofnodID>
not all there,<BERTRAM:IDnotallthereID>
birds of a feather,<BERTRAM:IDbirdsofafeatherID>
throw a wobbly,<BERTRAM:IDthrowawobblyID>
take a leaf out of someone's book,<BERTRAM:IDtakealeafoutofsomeonesbookID>
go to your head,<BERTRAM:IDgotoyourheadID>
in the raw,<BERTRAM:IDintherawID>
dead men's shoes,<BERTRAM:IDdeadmensshoesID>
not on your life,<BERTRAM:IDnotonyourlifeID>
third time lucky,<BERTRAM:IDthirdtimeluckyID>
up to here,<BERTRAM:IDuptohereID>
